"id","category","name","old_price","new_price","discount","deals","url"
"76","Kolekcje i sztuka","Zestaw filtrów do DJI Spark MCUV CPL ND8 + ETUI","170,00 zł","100,00 zł","-41%","","https://allegro.pl/oferta/zestaw-filtrow-do-dji-spark-mcuv-cpl-nd8-etui-7860118757"
"88","Kolekcje i sztuka","ZAPALNICZKA plazmowa elektryczna USB dotykowa","59,90 zł","27,50 zł","-54%","22 osoby kupiły","https://allegro.pl/oferta/zapalniczka-plazmowa-elektryczna-usb-dotykowa-9983133445"
"34","Kolekcje i sztuka","ZŁOTA RÓŻA PREZENT NA RÓŻNE OKAZJE PODARUNEK","29,90 zł","18,92 zł","-36%","69 osób kupiło","https://allegro.pl/oferta/zlota-roza-prezent-na-rozne-okazje-podarunek-9991465629"
"71","Kolekcje i sztuka","MALOWANIE PO NUMERACH prezent 40x50 Twoje Hobby","79,00 zł","69,00 zł","-12%","2 osoby kupiły","https://allegro.pl/events/clicks?emission_unit_id=c8259351-d727-44eb-8349-8797f13a4515&emission_id=2166cbdc-c9c2-412d-b39e-e048b80b9d04&type=OFFER&ts=1617120144249&redirect=https%3A%2F%2Fallegro.pl%2Foferta%2Fmalowanie-po-numerach-prezent-40x50-twoje-hobby-9991315255%3Fbi_s%3Dads%26bi_m%3Dlisting%253Adesktop%253Aqueryandcategory%26bi_c%3DMTU0NGVhMGItZDVjZC00NzIyLWJmMjEtMzgxYjI5NGIyNWZlAA%26bi_t%3Dape&placement=listing:desktop:queryandcategory&sig=fce9bd285672dfec63f68cc6749218d3"
"61","Kolekcje i sztuka","DRON RC SYMA W1 PRO 4K 5G WIFI GPS BEZSZCZOTKOWY","1042,80 zł","886,38 zł","wyprzedaż","","https://allegro.pl/oferta/dron-rc-syma-w1-pro-4k-5g-wifi-gps-bezszczotkowy-10192791102"
"89","Kolekcje i sztuka","MŁYNEK CRUSHER GRINDER TYTOŃ ZIOŁA KONOPIE","79,00 zł","24,99 zł","-68%","31 osób kupiło","https://allegro.pl/oferta/mlynek-crusher-grinder-tyton-ziola-konopie-9976466500"
"86","Kolekcje i sztuka","MALARSKI ZESTAW na prezent SZTALUGA PŁÓTNA FARBY","130,00 zł","95,00 zł","-26%","52 osoby kupiły","https://allegro.pl/oferta/malarski-zestaw-na-prezent-sztaluga-plotna-farby-6984954956"
"82","Kolekcje i sztuka","Elektryczna Maszynka NABIJARKA Do Papierosów TYTOŃ","69,00 zł","40,00 zł","wyprzedaż","9 osób kupiło","https://allegro.pl/events/clicks?emission_unit_id=6dd14e7b-ea94-4c11-bef0-9e7f153d0d91&emission_id=2166cbdc-c9c2-412d-b39e-e048b80b9d04&type=OFFER&ts=1617120144249&redirect=https%3A%2F%2Fallegro.pl%2Foferta%2Felektryczna-maszynka-nabijarka-do-papierosow-tyton-10545939071%3Fbi_s%3Dads%26bi_m%3Dlisting%253Adesktop%253Aqueryandcategory%26bi_c%3DMGM0ZTMyZmEtNWNjNS00NDQ4LWI1M2UtODJiN2VlZjYzNDRhAA%26bi_t%3Dape&placement=listing:desktop:queryandcategory&sig=0e886a8fde4fe20be979aacc0d494883"
"95","Kolekcje i sztuka","KULKI kapsułki SMAKOWE do papierosów MIX smaków","12,99 zł","8,99 zł","-30%","10 osób kupiło","https://allegro.pl/oferta/kulki-kapsulki-smakowe-do-papierosow-mix-smakow-10508691038"
"98","Kolekcje i sztuka","APLIKATOR + Kulki Miętowe do papierosów MENTOL x3","54,99 zł","40,00 zł","-27%","27 osób kupiło","https://allegro.pl/oferta/aplikator-kulki-mietowe-do-papierosow-mentol-x3-10418592447"
"101","Kolekcje i sztuka","NABIJARKA ELEKTRYCZNA MASZYNKA DO PAPIEROSÓW GILZ","98,00 zł","69,00 zł","-29%","33 osoby kupiły","https://allegro.pl/oferta/nabijarka-elektryczna-maszynka-do-papierosow-gilz-8892895448"
"131","Kolekcje i sztuka","CLICK MIĘTA kulki smakowe kapsułki do papierosów","10,99 zł","9,99 zł","-9%","18 osób kupiło","https://allegro.pl/oferta/click-mieta-kulki-smakowe-kapsulki-do-papierosow-9776422580"
"3","Kolekcje i sztuka","ZAPALNICZKA plazmowa DOTYKOWA USB wzory kolory","119,00 zł","42,90 zł","-63%","53 osoby kupiły","https://allegro.pl/oferta/zapalniczka-plazmowa-dotykowa-usb-wzory-kolory-10147722191"
"132","Kolekcje i sztuka","ETYKIETY DREWNIANE z napisami ozdoby dodatki DIY","10,00 zł","9,00 zł","wyprzedaż","","https://allegro.pl/oferta/etykiety-drewniane-z-napisami-ozdoby-dodatki-diy-7120721756"
"44","Kolekcje i sztuka","DZIURKACZ DO SKÓRY PASKA PASKÓW GUMY OCZKO 2-5mm","89,99 zł","21,99 zł","-75%","36 osób kupiło","https://allegro.pl/oferta/dziurkacz-do-skory-paska-paskow-gumy-oczko-2-5mm-10222871615"
"135","Kolekcje i sztuka","kulki kapsułki smakowe do papierosów TRUSKAWKA 100","12,99 zł","8,99 zł","-30%","6 osób kupiło","https://allegro.pl/oferta/kulki-kapsulki-smakowe-do-papierosow-truskawka-100-10508567801"
